Token,Item Name,Variation Name,SKU,Description,Reporting Category,Weight (lb),Social Media Link Title,Social Media Link Description,Price,Online Sale Price,Sellable,Stockable,Option Name 1,Option Value 1,Enabled BCC TEST ENV 1,Current Quantity BCC TEST ENV 1,New Quantity BCC TEST ENV 1,Stock Alert Enabled BCC TEST ENV 1,Stock Alert Count BCC TEST ENV 1,Price BCC TEST ENV 1,Enabled Bonita Petals Boutique,Current Quantity Bonita Petals Boutique,New Quantity Bonita Petals Boutique,Stock Alert Enabled Bonita Petals Boutique,Stock Alert Count Bonita Petals Boutique,Price Bonita Petals Boutique,Enabled Marco Blossoms,Current Quantity Marco Blossoms,New Quantity Marco Blossoms,Stock Alert Enabled Marco Blossoms,Stock Alert Count Marco Blossoms,Price Marco Blossoms,Enabled Naples Floral Haven,Current Quantity Naples Floral Haven,New Quantity Naples Floral Haven,Stock Alert Enabled Naples Floral Haven,Stock Alert Count Naples Floral Haven,Price Naples Floral Haven,Modifier Set - Add-on Charms,Modifier Set - Gift Wrapping Choices,Modifier Set - Scent Enhancement,Tax - Florida Fresh Flower Tax (1.8%),Tax - Indoor Plant Maintenance Tax (3%),Tax - Naples Botanical Tax (2.5%)
4BVWKZMAZ4A44N6WETNHE5XO,Jasmine Scented Candles,Jasmine Vanilla Dream Candle,,,,,,,27.00,,,,,,Y,,,,,,Y,447,,,,,Y,51,,,,,Y,250,,,,,N,N,Y,N,N,N
DPXJAI2HRWZ7VPM65SPUI25O,Love and Romance Roses,Crimson Kisses Bouquet,,,Romantic Collections,,,,99.00,,,,,,Y,,,,,,Y,247,,,,,Y,,,,,,Y,,,,,,Y,N,N,N,N,N
PWXL4PMVNGIVCLDC6FC7YB75,Love and Romance Roses,Whispering Sweet Nothings,,,Romantic Collections,,,,variable,,,,,,Y,,,,,,Y,282,,,,,Y,352,,,,,Y,,,,,,Y,N,N,N,N,N
AYLUCEUA7XRT6ANUBQQVKX4N,Love and Romance Roses,Enchanted Evening Dozen,,,Romantic Collections,,,,120.00,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,Y,N,N,N,N,N
2XVBMONUUUNJBZAW7LOF7HKZ,Lush Rose Arrangement,Velvet Red Rose Display,,,Bouquets and Arrangements,,,,93.00,,,,,,Y,,,,,,Y,360,,,,,Y,228,,,,,Y,276,,,,,Y,N,N,N,N,Y
NHWTTNNN65X2TESA4VIR52OV,Lush Rose Arrangement,Pastel Pink Rose Harmony,,,Bouquets and Arrangements,,,,91.00,,,,,,Y,,,,,,Y,46,,,,,Y,59,,,,,Y,111,,,,,Y,N,N,N,N,Y
KAOYVFBCATFZDTG5SLBYYYFE,Lush Rose Arrangement,White Rose Elegance,,,Bouquets and Arrangements,,,,variable,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,Y,101,,,,,Y,N,N,N,N,Y
XONAGC5VGPYSYIIZ5AVJV6MR,Magnolia Dream Bouquet,Southern Charm Bunch,,,Bouquets and Arrangements,,,,79.00,,,,,,Y,,,,,,Y,388,,,,,Y,98,,,,,Y,484,,,,,Y,N,N,N,N,Y
VQA6DEEV3232VJ2RIWRF4XZJ,Magnolia Dream Bouquet,Creamy Blossom Cluster,,,Bouquets and Arrangements,,,,variable,,,,,,Y,,,,,,Y,158,,,,,Y,11,,,,,Y,126,,,,,Y,N,N,N,N,Y
44SSFSJBGW3F7RUZENZFTUMH,Magnolia Dream Bouquet,Magnolia Majesty Composition,,,Bouquets and Arrangements,,,,88.00,,,,,,Y,,,,,,Y,247,,,,,Y,336,,,,,Y,347,,,,,Y,N,N,N,N,Y
JK4EJ62CS4D4Y6RHYU56HOSQ,Naples Native Wildflowers,Sunshine State Blossoms,,,Local Favorites,,,,52.00,,,,,,Y,,,,,,Y,,,,,,Y,341,,,,,Y,,,,,,N,N,N,N,N,Y
YN2NVVWMHGWZCRJL3AC4GEMP,Naples Native Wildflowers,Everglades Essence Bundle,,,Local Favorites,,,,55.00,,,,,,Y,,,,,,Y,86,,,,,Y,406,,,,,Y,,,,,,N,N,N,N,N,Y
SSTHYAXRUKBTJO7OLVFP3CGB,Naples Native Wildflowers,Gulf Coast Color Variety,,,Local Favorites,,,,variable,,,,,,Y,,,,,,Y,346,,,,,Y,297,,,,,Y,,,,,,N,N,N,N,N,Y
Q27KYLRZ6CY576ULL6FCRHL5,Orchid Delight Basket,Purple Phalaenopsis Basket,,,Indoor Plants,,,,78.00,,,,,,Y,,,,,,Y,468,,,,,Y,327,,,,,Y,48,,,,,N,Y,N,Y,N,N
AKVFFRYBHEHGXBUSXODJE2B5,Orchid Delight Basket,White Orchid Paradise,,,Indoor Plants,,,,variable,,,,,,Y,,,,,,Y,373,,,,,Y,,,,,,Y,315,,,,,N,Y,N,Y,N,N
WR6YZVJ5NRVSI6WE4YU3H3FK,Orchid Delight Basket,Mixed Orchid Treasure,,,Indoor Plants,,,,85.00,,,,,,Y,,,,,,Y,60,,,,,Y,380,,,,,Y,,,,,,N,Y,N,Y,N,N
VUF5JZOVQR6M6TAZAJ6GL3HJ,Passion Pink Anthurium,Flamingo Flower Arrangement,,,Tropical Flora,,,,53.00,,,,,,Y,,,,,,Y,244,,,,,Y,,,,,,Y,255,,,,,N,Y,N,N,N,N
AM7J6AZN4ARZWIXXSHXQ3UEK,Passion Pink Anthurium,Blush Beauty Pot,,,Tropical Flora,,,,variable,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,Y,128,,,,,N,Y,N,N,N,N
ATDWNO6TCDSK4HUIP2MPITQ6,Passion Pink Anthurium,Heartfelt Harmony Basket,,,Tropical Flora,,,,58.00,,,,,,Y,,,,,,Y,119,,,,,Y,424,,,,,Y,288,,,,,N,Y,N,N,N,N
ZJSE5OCCP3TVDYQYRMFFVGJX,Peony Perfection Bundle,Blushing Peony Bouquet,,,,,,,variable,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,Y,N,N,Y,N,N
YFDQX6O6LXEWHDNKME7MDEXJ,Peony Perfection Bundle,Crimson Peony Ensemble,,,,,,,73.00,,,,,,Y,,,,,,Y,152,,,,,Y,381,,,,,Y,85,,,,,Y,N,N,Y,N,N
26EROGWMHMIB2FJ7L4MRGEUL,Peony Perfection Bundle,Pink Peony Basket,,,,,,,71.00,,,,,,Y,,,,,,Y,183,,,,,Y,,,,,,Y,480,,,,,Y,N,N,Y,N,N
IBWF6P6VFC3IG6BJLTTO4EWJ,Potted Lavender,Fragrant Lavender Pot,,,Indoor Plants,,,,31.00,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,Y,271,,,,,N,Y,N,N,Y,N
37LDJCWGDOYQZAFI46INOZTT,Potted Lavender,Provence Lavender Basket,,,Indoor Plants,,,,variable,,,,,,Y,,,,,,Y,343,,,,,Y,29,,,,,Y,,,,,,N,Y,N,N,Y,N
NU5ZK7GPJST6RBVRNGBEBSIS,Potted Lavender,Mini Lavender Garden,,,Indoor Plants,,,,34.00,,,,,,Y,,,,,,Y,68,,,,,Y,62,,,,,Y,159,,,,,N,Y,N,N,Y,N
DPD5PPSXXPKY4GV2AB26RSRQ,Rainbow Tulip Bunch,Spring Spectacle Tulips,,,Bouquets and Arrangements,,,,71.00,,,,,,Y,,,,,,Y,381,,,,,Y,201,,,,,Y,,,,,,Y,N,N,Y,N,N
GGBXNACUU24HLSVX3QMQDE2Y,Rainbow Tulip Bunch,Colorburst Tulip Assortment,,,Bouquets and Arrangements,,,,variable,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,Y,N,N,Y,N,N
I6KB5JV232Z52RJB642RH5HA,Rainbow Tulip Bunch,Rainbow Tulip Garden,,,Bouquets and Arrangements,,,,74.00,,,,,,Y,,,,,,Y,342,,,,,Y,23,,,,,Y,,,,,,Y,N,N,Y,N,N
YSWNTTHT6VXXL7DIPUCG7DQ2,Royal Bromeliad Display,Regal Red Exhibition,,,,,,,64.00,,,,,,Y,,,,,,Y,270,,,,,Y,168,,,,,Y,283,,,,,N,Y,N,N,N,N
ZBAXXRJHKQYB7JQ6CPLQTXGX,Royal Bromeliad Display,Monarch's Garden Planter,,,,,,,variable,,,,,,Y,,,,,,Y,384,,,,,Y,28,,,,,Y,210,,,,,N,Y,N,N,N,N
H4NWFTVBK2ZWYV4R5MSU23YO,Royal Bromeliad Display,Sovereign Splendor Stand,,,,,,,69.00,,,,,,Y,,,,,,Y,62,,,,,Y,211,,,,,Y,222,,,,,N,Y,N,N,N,N
QUGAVFWJY2THAAPZQUSEYZ3F,Succulent Trio Set,Desert Beauty Succulent Trio,,,Indoor Plants,,,,39.00,,,,,,Y,,,,,,Y,152,,,,,Y,456,,,,,Y,352,,,,,N,Y,N,N,Y,N
ZNJEYCX3AP6I64NK6F7YHW4L,Succulent Trio Set,Rosette Succulent Collection,,,Indoor Plants,,,,variable,,,,,,Y,,,,,,Y,225,,,,,Y,69,,,,,Y,,,,,,N,Y,N,N,Y,N
AD22X5G3M362V2OMPFL35FRZ,Succulent Trio Set,Assorted Succulent Set,,,Indoor Plants,,,,43.00,,,,,,Y,,,,,,Y,404,,,,,Y,131,,,,,Y,112,,,,,N,Y,N,N,Y,N
MYB2JD7HNSTURHFGN76JED7L,Sunny Sunflower Bouquet,Classic Sunshine Bouquet,,,Bouquets and Arrangements,,,,variable,,,,,,Y,,,,,,Y,175,,,,,Y,395,,,,,Y,116,,,,,Y,N,N,Y,N,N
BOTOATP76PS625P7UDU5V7YT,Sunny Sunflower Bouquet,Autumn Glow Sunflowers,,,Bouquets and Arrangements,,,,41.00,,,,,,Y,,,,,,Y,57,,,,,Y,311,,,,,Y,389,,,,,Y,N,N,Y,N,N
CVOWQ4F6E35AKFUBTOCPUYOB,Sunny Sunflower Bouquet,Sunset Sunflower Mix,,,Bouquets and Arrangements,,,,44.00,,,,,,Y,,,,,,Y,40,,,,,Y,,,,,,Y,,,,,,Y,N,N,Y,N,N
H6IS4FMG66BG6MGKJP2KE6HA,Tropical Hibiscus Plant,Red Radiance Hibiscus,,,Tropical Flora,,,,46.00,,,,,,Y,,,,,,Y,405,,,,,Y,495,,,,,Y,,,,,,N,Y,N,N,N,Y
55VF2IPZBIWCDUSSLLTOJVY3,Tropical Hibiscus Plant,Yellow Halo Hibiscus,,,Tropical Flora,,,,variable,,,,,,Y,,,,,,Y,417,,,,,Y,93,,,,,Y,,,,,,N,Y,N,N,N,Y
N7KP2F5KQOP3ZKQNZ52IIVKO,Tropical Hibiscus Plant,Pink Swirl Hibiscus,,,Tropical Flora,,,,49.00,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,Y,315,,,,,N,Y,N,N,N,Y
XPAJLNCWQ7IKNSATTU6IERJG,Zen Bamboo Plant,Serenity Stalks Container,,,,,,,38.00,,,,,,Y,,,,,,Y,362,,,,,Y,477,,,,,Y,,,,,,N,Y,N,N,N,N
3SSVQYXDJLBU23BZWMZKLUIO,Zen Bamboo Plant,Peaceful Growth Planter,,,,,,,40.00,,,,,,Y,,,,,,Y,,,,,,Y,421,,,,,Y,469,,,,,N,Y,N,N,N,N
6GT2UATYOGO5YCALRBVKGRB3,Zen Bamboo Plant,Tranquil Shoots Vase,,,,,,,variable,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,Y,46,,,,,N,Y,N,N,N,N
